Dataset,Number of Nodes,Numbber of Edges,AVG:DEGREE,SD:Degree,AVG:Eccentricity,STD:Eccentricity,AVGCenter,STDCenter,PearsonCoieff,AssortivityCoieff,Average Node Connectivity,Transitiivty,Clustering Coieff,Density,Diameter
Chesapeakbayundirected.net,36,482,26.77777777777778,8.286907716764608,2.138888888888889,0.3458305443885759,17.516129032258064,10.799853546623305,[-0.27748207951712234],[-0.2774820795171229],[0.8335694050991501],[0.8708239628759542],[0.765079365079365],[0.765079365079365],[3],
StMartin1.net,23,46,4.0,2.4847360108225303,3.4347826086956523,0.49572844569527735,9.846153846153847,6.893097482221492,[-0.39349606424425543],[-0.39349606424425476],[0.18660287081339713],[0.20465838509316767],[0.18181818181818182],[0.18181818181818182],[4],
StMartin2.net,44,200,9.090909090909092,5.371719640936823,3.0454545454545454,0.4239717751404007,13.666666666666666,14.38363267359428,[-0.16933951884853787],[-0.16933951884853893],[0.3249001331557923],[0.33841888884320875],[0.21141649048625794],[0.21141649048625794],[4],
YthanEstury.net,98,388,7.918367346938775,6.6772129548673265,3.683673469387755,0.5457991477680135,42.34285714285714,23.636464392535355,[-0.3040671600810719],[-0.30406716008107165],[0.15937101572460688],[0.19883893298280103],[0.08163265306122448],[0.08163265306122448],[5],
YthanFulWeb.net,134,594,8.865671641791044,7.656614587202166,3.626865671641791,0.4836373655528253,73.62,42.41362516927786,[-0.2663501816978787],[-0.2663501816978784],[0.11877667140825035],[0.1826801052676819],[0.0666591852766244],[0.0666591852766244],[4],
