Dataset,Number of Nodes,Numbber of Edges,AVG:DEGREE,SD:Degree,AVG:INDEGREE,STD:INDEGREE,AVG:OUTDEGREE,STD:OUTDEGREE,StrongConnection,WeakConnection,AVGConnection,Flow Hirarchy,Average Node Connectivity,AVG Degree Connectivity,SD Degree Connecvivity ,Average Clustering Coieficinent,Density
Chesapeakbay.net,36,531,29.5,10.644508234557177,0.42142857142857143,0.24049976310678928,0.42142857142857143,0.42142857142857143,False,True,False,[0.783427495291902],[4.573015873015873],13.317467401158256,10.631294419326117,[0.53015752669047],[0.42142857142857143],
CoachellaValley.net,30,276,18.4,7.459222479588607,0.3172413793103449,0.21468113677618456,0.3172413793103449,0.3172413793103449,False,True,False,[0.6557971014492754],[2.617241379310345],10.563663681644874,4.194690515652582,[0.39939514830603784],[0.31724137931034485],
Grasslandm.net,67,124,3.701492537313433,2.796666060850751,0.028041610131162364,0.035340433725875975,0.028041610131162364,0.028041610131162364,False,True,False,[1.0],[0.07914970601537766],2.841673519912386,1.7539440795231338,[0.1399203201442007],[0.02804161013116237],
Heliaster.net,13,23,3.5384615384615383,1.9851519847021446,0.1474358974358974,0.2018976377951746,0.1474358974358974,0.1474358974358974,False,True,False,[1.0],[0.28846153846153844],3.5046296296296298,2.4251748201095276,[0.157967032967033],[0.14743589743589744],
LittleRock.net,182,2427,26.67032967032967,21.852932483606764,0.07367494384068969,0.11511986529763125,0.07367494384068969,0.07367494384068969,False,True,False,[0.9011124845488258],[1.1114382854714346],31.11136714857514,20.26294109359671,[0.188358832688496],[0.07367494384068969],
scotchbroom.net,154,369,4.792207792207792,7.000626432707925,0.015660809778456835,0.04328040972580762,0.015660809778456835,0.015660809778456835,False,True,False,[0.986449864498645],[0.05245734657499363],10.928716198020139,8.153765765640333,[0.06651285925297329],[0.01566080977845684],
Silwood.net,154,369,4.792207792207792,7.000626432707925,0.015660809778456835,0.04328040972580762,0.015660809778456835,0.015660809778456835,False,True,False,[0.986449864498645],[0.05245734657499363],10.928716198020139,8.153765765640333,[0.06651285925297329],[0.01566080977845684],
Skipwith.net,35,379,21.65714285714286,8.575522831684065,0.3184873949579831,0.33212312380587133,0.3184873949579831,0.3184873949579831,False,True,False,[0.8918205804749341],[2.3016806722689074],13.222838219284434,9.679190151275737,[0.35706079489157394],[0.31848739495798317],
